timestamp, melody, chord
 0.00,C♯4,G
 0.05,-  ,G
 0.09,-  ,A
 0.14,-  ,A
 0.19,-  ,G
 0.23,A3 ,G
 0.28,C4 ,C
 0.33,C4 ,C
 0.37,C4 ,C
 0.42,G3 ,G
 0.46,G3 ,C#
 0.51,-  ,A
 0.56,-  ,A
 0.60,-  ,A
 0.65,-  ,G
 0.70,G♯3,G
 0.74,G3 ,G
 0.79,G3 ,G
 0.84,G3 ,G
 0.88,G3 ,C
 0.93,F♯3,C
 0.98,-  ,G
 1.02,-  ,A
 1.07,-  ,G
 1.11,-  ,G
 1.16,G♯3,G
 1.21,G3 ,G
 1.25,G3 ,G
 1.30,G3 ,G
 1.35,G3 ,C#
 1.39,D♯3,C#
 1.44,-  ,C#
 1.49,-  ,A
 1.53,-  ,G
 1.58,-  ,G
 1.63,G3 ,G
 1.67,G3 ,G
 1.72,G3 ,G
 1.76,G3 ,G
 1.81,G3 ,G
 1.86,-  ,G
 1.90,-  ,A
 1.95,-  ,A
 2.00,-  ,G
 2.04,E4 ,G
 2.09,C4 ,C
 2.14,C4 ,C
 2.18,C4 ,C
 2.23,C4 ,C
 2.28,C4 ,G
 2.32,-  ,C#
 2.37,-  ,A
 2.41,-  ,A
 2.46,-  ,G
 2.51,C♯4,G
 2.55,C4 ,C
 2.60,G3 ,C
 2.65,G3 ,C
 2.69,G3 ,G
 2.74,G3 ,C#
 2.79,-  ,C#
 2.83,-  ,A
 2.88,-  ,A
 2.93,-  ,G
 2.97,A♯3,G
 3.02,G3 ,G
 3.07,G3 ,G
 3.11,G3 ,G
 3.16,G3 ,C#
 3.20,F3 ,C#
 3.25,-  ,C#
 3.30,-  ,A
 3.34,-  ,A
 3.39,-  ,G
 3.44,G♯3,G
 3.48,G3 ,G
 3.53,G3 ,G
 3.58,G3 ,G
 3.62,G3 ,G
 3.67,D3 ,C#
 3.72,-  ,C#
 3.76,-  ,A
 3.81,-  ,G
 3.85,C5 ,G
 3.90,C4 ,G
 3.95,C4 ,G
 3.99,C4 ,G
 4.04,G3 ,G
 4.09,D♯4,G
 4.13,-  ,C#
 4.18,-  ,C#
 4.23,-  ,A
 4.27,-  ,G
 4.32,F4 ,G
 4.37,C4 ,G
 4.41,G3 ,G
 4.46,G3 ,G
 4.50,G3 ,G
 4.55,C4 ,G
 4.60,-  ,G
 4.64,-  ,A
 4.69,-  ,A
 4.74,-  ,G
 4.78,G3 ,G
 4.83,C4 ,G
 4.88,G3 ,G
 4.92,G3 ,G
 4.97,G3 ,G
 5.02,G3 ,C
 5.06,-  ,G
 5.11,-  ,A
 5.15,-  ,A
 5.20,-  ,G
 5.25,A3 ,G
 5.29,G3 ,G
 5.34,G3 ,G
 5.39,G3 ,G
 5.43,G3 ,G
 5.48,E3 ,G
 5.53,-  ,C#
 5.57,-  ,A
 5.62,-  ,A
 5.67,-  ,G
 5.71,G♯3,G
 5.76,G3 ,G
 5.80,G3 ,G
 5.85,G3 ,G
 5.90,G3 ,C#
 5.94,D3 ,C#
 5.99,-  ,A
 6.04,-  ,A
 6.08,-  ,G
 6.13,C♯4,G
 6.18,C4 ,C
 6.22,C4 ,C
 6.27,C4 ,C
 6.32,C4 ,G
 6.36,C♯4,G
 6.41,-  ,G
 6.46,-  ,G
 6.50,-  ,A
 6.55,-  ,G
 6.59,G♯4,G
 6.64,G3 ,G
 6.69,G3 ,G
 6.73,G3 ,G
 6.78,G3 ,G
 6.83,G♯3,C
 6.87,-  ,C#
 6.92,-  ,A
 6.97,-  ,A
 7.01,-  ,G
 7.06,C♯4,G
 7.11,G3 ,G
 7.15,G3 ,G
 7.20,G3 ,G
 7.24,G3 ,G
 7.29,F♯3,G
 7.34,-  ,G
 7.38,-  ,A
 7.43,-  ,G
 7.48,-  ,G
 7.52,G♯3,G
 7.57,G3 ,G
 7.62,G3 ,G
 7.66,G3 ,G
 7.71,G3 ,G
 7.76,D♯3,G
 7.80,-  ,G
 7.85,-  ,A
 7.89,-  ,G
 7.94,-  ,G
 7.99,C♯3,C
 8.03,D5 ,C
 8.08,D5 ,C
 8.13,C4 ,G
 8.17,C4 ,C#
 8.22,-  ,C#
 8.27,-  ,A
 8.31,-  ,A
 8.36,-  ,G
 8.41,E4 ,G
 8.45,G3 ,G
 8.50,G3 ,G
 8.54,G3 ,G
 8.59,G3 ,G
 8.64,C♯4,G
 8.68,F♯3,C#
 8.73,-  ,A
 8.78,-  ,A
 8.82,-  ,G
 8.87,B3 ,G
 8.92,G3 ,C
 8.96,G3 ,C
 9.01,G3 ,C
 9.06,G3 ,G
 9.10,G3 ,G
 9.15,E3 ,G
 9.20,-  ,A
 9.24,-  ,A
 9.29,-  ,G
 9.33,F3 ,G
 9.38,G3 ,G
 9.43,G3 ,G
 9.47,G3 ,G
 9.52,G3 ,C
 9.57,F3 ,C
 9.61,-  ,C#
 9.66,-  ,A
 9.71,-  ,A
 9.75,-  ,G
 9.80,D♯3,G
 9.85,C4 ,G
 9.89,C4 ,G
 9.94,C4 ,G
 9.98,F♯3,C
10.03,D♯3,C#
10.08,-  ,A
10.12,-  ,A
10.17,-  ,A
10.22,D♯4,G
10.26,G3 ,G
10.31,G3 ,G
10.36,G3 ,G
10.40,G3 ,G
10.45,E3 ,C#
10.50,-  ,C#
10.54,-  ,A
10.59,-  ,A
10.63,-  ,G
10.68,A♯5,G
10.73,C4 ,C
10.77,C4 ,C
10.82,C4 ,C
10.87,C4 ,C
10.91,C4 ,G
10.96,-  ,C
11.01,-  ,A
11.05,-  ,A
11.10,-  ,G
11.15,D♯4,G
11.19,C4 ,C
11.24,C4 ,C
11.28,C4 ,C
11.33,C4 ,C
11.38,G3 ,C
11.42,-  ,C
11.47,-  ,A
11.52,-  ,A
11.56,-  ,G
11.61,A3 ,G
11.66,G3 ,G
11.70,G3 ,G
11.75,G3 ,G
11.80,G3 ,G
11.84,E3 ,C#
11.89,-  ,C#
11.94,-  ,A
11.98,-  ,G
12.03,-  ,G
12.07,G♯3,G
12.12,G3 ,G
12.17,G3 ,G
12.21,G3 ,G
12.26,G3 ,G
12.31,D3 ,C#
12.35,-  ,C#
12.40,-  ,A
12.45,-  ,A
12.49,F4 ,G
12.54,G3 ,G
12.59,G3 ,G
12.63,G3 ,G
12.68,G3 ,G
12.72,G3 ,G
12.77,D♯6,G
12.82,A5 ,G
12.86,B7 ,F#
12.91,B7 ,C
12.96,G♯4,C
13.00,G3 ,C
13.05,G3 ,C
13.10,G3 ,C
13.14,G3 ,C
13.19,G5 ,C
13.24,A♯5,C
13.28,C7 ,C
13.33,D♯6,C
13.37,G♯5,G
13.42,C♯4,G
13.47,G3 ,G
13.51,G3 ,G
13.56,G3 ,G
13.61,G3 ,G
13.65,F♯7,G
13.70,G♯7,C
13.75,G♯3,C
13.79,D♯3,E
13.84,-  ,F
13.89,B3 ,F
13.93,G3 ,G
13.98,G3 ,G
14.02,G3 ,G
14.07,G3 ,F
14.12,F♯3,F
14.16,D3 ,E
14.21,D3 ,E
14.26,G3 ,D
14.30,F3 ,C#
14.35,C4 ,G
14.40,C4 ,G
14.44,G3 ,G
14.49,G3 ,G
14.54,G♯3,G
14.58,-  ,G
14.63,-  ,G
14.68,-  ,G
14.72,-  ,G
14.77,D3 ,B
14.81,G3 ,C
14.86,C4 ,C
14.91,-  ,C
14.95,-  ,C
15.00,C4 ,C
15.05,-  ,G
15.09,-  ,G
15.14,-  ,G
15.19,-  ,G
15.23,G♯3,C
15.28,G3 ,C
15.33,-  ,C
15.37,-  ,C
15.42,G3 ,C
15.46,G♯3,C
15.51,-  ,G
15.56,-  ,G
15.60,-  ,G
15.65,-  ,B
15.70,A3 ,B
15.74,G3 ,C
15.79,G3 ,C
15.84,G3 ,C
15.88,G3 ,C
15.93,F♯3,C
15.98,-  ,G
16.02,-  ,G
16.07,-  ,G
16.11,-  ,B
16.16,G♯3,C
16.21,-  ,C
16.25,-  ,C
16.30,-  ,C
16.35,-  ,C
16.39,D♯3,G
16.44,-  ,G
16.49,-  ,G
16.53,-  ,G
16.58,-  ,G
16.63,D♯3,G
16.67,F♯3,G
16.72,D3 ,G
16.76,-  ,G
16.81,A♯3,G
16.86,-  ,G
16.90,-  ,G
16.95,-  ,G
17.00,-  ,G
17.04,D3 ,G
17.09,-  ,G
17.14,-  ,G
17.18,D3 ,G
17.23,D3 ,G
17.28,C♯4,G
17.32,-  ,G
17.37,-  ,G
17.41,-  ,G
17.46,-  ,G
17.51,G3 ,G
17.55,D♯3,G
17.60,-  ,G
17.65,-  ,G
17.69,-  ,G
17.74,G3 ,G
17.79,F3 ,G
17.83,-  ,G
17.88,-  ,G
17.93,-  ,G
17.97,F♯3,G
18.02,G3 ,G
18.07,D3 ,G
18.11,D3 ,G
18.16,D3 ,G
18.20,F3 ,G
18.25,-  ,G
18.30,-  ,G
18.34,-  ,G
18.39,-  ,G
18.44,C♯3,D
18.48,D3 ,D
18.53,D3 ,D
18.58,D3 ,D
18.62,D♯3,C#
18.67,D3 ,G
18.72,-  ,G
18.76,-  ,G
18.81,-  ,G
18.85,-  ,G
18.90,D3 ,D
18.95,D3 ,D
18.99,A3 ,D
19.04,A3 ,D
19.09,G3 ,G
19.13,-  ,G
19.18,-  ,G
19.23,-  ,G
19.27,-  ,G
19.32,F3 ,G
19.37,D3 ,D
19.41,D3 ,D
19.46,A3 ,D
19.50,A3 ,D
19.55,C4 ,G
19.60,-  ,G
19.64,-  ,G
19.69,-  ,G
19.74,-  ,G
19.78,F3 ,G
19.83,D3 ,D
19.88,D3 ,D
19.92,D3 ,D
19.97,A3 ,C#
20.02,G3 ,G
20.06,-  ,G
20.11,-  ,G
20.15,-  ,G
20.20,-  ,G
20.25,F3 ,E
20.29,E3 ,E
20.34,E3 ,E
20.39,B3 ,E
20.43,B3 ,E
20.48,E3 ,E
20.53,-  ,G
20.57,-  ,G
20.62,-  ,G
20.67,-  ,G
20.71,B3 ,E
20.76,E3 ,E
20.81,B3 ,E
20.85,B3 ,E
20.90,B3 ,E
20.94,C♯3,G
20.99,-  ,G
21.04,-  ,G
21.08,-  ,G
21.13,-  ,E
21.18,E3 ,E
21.22,E3 ,E
21.27,E3 ,E
21.32,E3 ,E
21.36,C♯4,E
21.41,-  ,G
21.46,-  ,G
21.50,-  ,G
21.55,-  ,G
21.59,F3 ,E
21.64,D♯3,E
21.69,D♯3,E
21.73,G5 ,E
21.78,B3 ,E
21.83,G3 ,E
21.87,-  ,G
21.92,-  ,G
21.97,-  ,G
22.01,-  ,G
22.06,G♯3,B
22.11,G3 ,C
22.15,C4 ,C
22.20,G5 ,C
22.24,-  ,C
22.29,F♯3,G
22.34,-  ,G
22.38,-  ,G
22.43,-  ,G
22.48,-  ,B
22.52,A3 ,C
22.57,G3 ,C
22.62,G3 ,C
22.66,G3 ,C
22.71,G3 ,C
22.76,D♯3,G
22.80,-  ,G
22.85,-  ,G
22.89,-  ,G
22.94,D7 ,B
22.99,G3 ,C
23.03,G5 ,C
23.08,-  ,C
23.13,G5 ,C
23.17,E3 ,C
23.22,-  ,G
23.27,-  ,G
23.31,-  ,G
23.36,-  ,G
23.41,D7 ,C
23.45,-  ,C
23.50,-  ,C
23.55,-  ,C
23.59,G5 ,C
23.64,C4 ,G
23.68,F♯3,G
23.73,-  ,G
23.78,-  ,G
23.82,-  ,G
23.87,G3 ,F#
23.92,-  ,G
23.96,G5 ,G
24.01,G5 ,G
24.06,-  ,G
24.10,G3 ,G
24.15,F3 ,G
24.20,-  ,G
24.24,-  ,G
24.29,-  ,G
24.33,A3 ,G
24.38,-  ,G
24.43,G5 ,G
24.47,G5 ,G
24.52,D3 ,G
24.57,F3 ,G
24.61,-  ,G
24.66,-  ,G
24.71,-  ,G
24.75,D7 ,G
24.80,G3 ,G
24.85,-  ,G
24.89,D3 ,G
24.94,D3 ,G
24.98,D3 ,G
25.03,D3 ,G
25.08,-  ,G
25.12,D7 ,G
25.17,-  ,G
25.22,D7 ,G
25.26,D3 ,G
25.31,G3 ,G
25.36,-  ,G
25.40,G5 ,G
25.45,D♯3,G
25.50,-  ,G
25.54,-  ,G
25.59,-  ,G
25.63,-  ,G
25.68,G♯3,G
25.73,D3 ,D
25.77,D3 ,D
25.82,A3 ,D
25.87,A3 ,D
25.91,C4 ,G
25.96,-  ,G
26.01,-  ,G
26.05,-  ,G
26.10,-  ,G
26.15,F♯3,G
26.19,D3 ,D
26.24,D3 ,D
26.28,D3 ,D
26.33,D3 ,C#
26.38,G3 ,C#
26.42,-  ,G
26.47,-  ,G
26.52,-  ,G
26.56,D7 ,G
26.61,E3 ,D
26.66,D3 ,D
26.70,D3 ,D
26.75,A3 ,D
26.80,A3 ,C#
26.84,E3 ,G
26.89,-  ,G
26.94,-  ,G
26.98,-  ,G
27.03,D7 ,G
27.07,D3 ,D
27.12,D3 ,D
27.17,D4 ,D
27.21,G5 ,D
27.26,D3 ,C#
27.31,D3 ,C#
27.35,-  ,G
27.40,D7 ,G
27.45,-  ,G
27.49,D7 ,E
27.54,E3 ,E
27.59,E3 ,E
27.63,E3 ,E
27.68,B3 ,E
27.72,A3 ,E
27.77,G6 ,E
27.82,G6 ,E
27.86,D4 ,D#
27.91,A3 ,E
27.96,F3 ,E
28.00,E3 ,E
28.05,A3 ,E
28.10,F3 ,E
28.14,B3 ,E
28.19,D4 ,E
28.24,A♯3,E
28.28,F♯3,E
28.33,C4 ,E
28.37,G♯3,E
28.42,F3 ,E
28.47,E3 ,E
28.51,E3 ,E
28.56,A♯3,E
28.61,F♯3,E
28.65,C♯4,E
28.70,A3 ,D#
28.75,F3 ,D#
28.79,D3 ,D#
28.84,D7 ,E
28.89,F3 ,E
28.93,F3 ,E
28.98,B3 ,E
29.02,D3 ,E
29.07,A5 ,C
29.12,G♯5,C
29.16,A5 ,C
29.21,F♯6,C
29.26,G6 ,C
29.30,G♯6,C
29.35,B5 ,C
29.40,E5 ,C
29.44,E4 ,C
29.49,E4 ,C
29.54,D4 ,C
29.58,G4 ,C
29.63,G5 ,C
29.68,G5 ,C
29.72,G5 ,C
29.77,G5 ,C
29.81,G5 ,C
29.86,F♯4,C
29.91,G♯4,C
29.95,A6 ,C
30.00,C4 ,C
30.05,B5 ,C
30.09,B5 ,C
30.14,B5 ,C
30.19,C6 ,C
30.23,G6 ,C
30.28,C5 ,C
30.33,B4 ,C
30.37,B4 ,C
30.42,B4 ,C
30.46,B4 ,C
30.51,B4 ,C
30.56,B4 ,C
30.60,B4 ,C
30.65,B4 ,C
30.70,B4 ,C
30.74,A♯4,C
30.79,F4 ,C
30.84,D4 ,C
30.88,G3 ,C
30.93,A3 ,G
30.98,D5 ,G
31.02,A6 ,G
31.07,A5 ,G
31.11,A5 ,G
31.16,A5 ,G
31.21,A5 ,G
31.25,F♯6,G
31.30,A5 ,G
31.35,D5 ,G
31.39,F5 ,G
31.44,G5 ,G
31.49,G5 ,G
31.53,G5 ,G
31.58,G5 ,G
31.63,G6 ,G
31.67,F♯4,G
31.72,G♯3,G
31.76,D♯3,G
31.81,D♯3,G
31.86,D5 ,G
31.90,A6 ,G
31.95,D♯5,G
32.00,E5 ,G
32.04,E5 ,G
32.09,E5 ,G
32.14,D6 ,G
32.18,D5 ,G
32.23,D5 ,G
32.28,D5 ,G
32.32,D5 ,G
32.37,D5 ,G
32.42,D5 ,G
32.46,D5 ,G
32.51,D5 ,G
32.55,E3 ,G
32.60,F♯4,G
32.65,G3 ,G
32.69,F♯5,F#
32.74,F♯5,F#
32.79,F♯5,F#
32.83,F♯5,C#
32.88,F♯5,C#
32.93,F♯5,C#
32.97,C♯6,C#
33.02,F♯5,D
33.07,F♯5,D
33.11,D7 ,D
33.16,D3 ,D
33.20,A4 ,D
33.25,A5 ,D
33.30,A5 ,D
33.34,A5 ,D
33.39,A5 ,D
33.44,E6 ,D
33.48,E6 ,D
33.53,A4 ,D
33.58,D3 ,D
33.62,D3 ,D
33.67,B4 ,D
33.72,C5 ,D
33.76,C5 ,D
33.81,D5 ,D
33.85,D5 ,D
33.90,D5 ,D
33.95,C♯5,D
33.99,G6 ,D
34.04,G6 ,D
34.09,C5 ,D
34.13,C5 ,D
34.18,G6 ,D
34.23,G6 ,D
34.27,D3 ,D
34.32,D3 ,D
34.37,D3 ,D
34.41,C5 ,D
34.46,C5 ,D
34.50,C5 ,D
34.55,C6 ,D
34.60,B4 ,E
34.64,B6 ,E
34.69,B4 ,E
34.74,B4 ,E
34.78,B5 ,E
34.83,B4 ,E
34.88,B4 ,E
34.92,B4 ,E
34.97,B4 ,E
35.02,B4 ,E
35.06,B4 ,E
35.11,B4 ,E
35.16,B4 ,E
35.20,B4 ,E
35.25,B4 ,E
35.29,B4 ,E
35.34,B4 ,E
35.39,B4 ,E
35.43,B4 ,E
35.48,F3 ,E
35.53,E3 ,E
35.57,C4 ,E
35.62,E3 ,E
35.67,F3 ,E
35.71,G3 ,E
35.76,F3 ,E
35.81,A♯3,E
35.85,F♯4,E
35.90,C♯6,E
35.94,F♯4,E
35.99,F♯4,E
36.04,F♯4,E
36.08,F♯4,E
36.13,F♯4,E
36.18,F♯4,E
36.22,F4 ,E
36.27,E4 ,E
36.32,D♯3,E
36.36,D4 ,C
36.41,E4 ,E
36.46,E4 ,C
36.50,E4 ,C
36.55,E4 ,C
36.59,E4 ,C
36.64,E4 ,C
36.69,E4 ,C
36.73,E4 ,C
36.78,E4 ,C
36.83,E4 ,C
36.87,B6 ,C
36.92,B6 ,C
36.97,G4 ,C
37.01,B6 ,C
37.06,B6 ,C
37.11,B6 ,C
37.15,F5 ,C
37.20,C4 ,C
37.24,E4 ,C
37.29,G♯5,C
37.34,B5 ,C
37.38,B5 ,C
37.43,C6 ,C
37.48,C6 ,C
37.52,C6 ,C
37.57,C6 ,C
37.62,B5 ,C
37.66,B5 ,C
37.71,F♯6,C
37.76,B5 ,C
37.80,F♯6,C
37.85,B4 ,C
37.89,B4 ,C
37.94,B4 ,C
37.99,B4 ,C
38.03,B4 ,C
38.08,A4 ,C
38.13,F♯4,C
38.17,C♯4,C
38.22,D♯4,G
38.27,D5 ,G
38.31,D5 ,G
38.36,D5 ,G
38.41,D5 ,G
38.45,D4 ,G
38.50,D4 ,G
38.55,D4 ,G
38.59,D4 ,G
38.64,B3 ,G
38.68,G5 ,G
38.73,G5 ,G
38.78,G5 ,G
38.82,D6 ,G
38.87,G5 ,G
38.92,G5 ,G
38.96,G3 ,G
39.01,G♯3,G
39.06,G3 ,G
39.10,B3 ,G
39.15,D6 ,G
39.20,D6 ,G
39.24,E6 ,G
39.29,E6 ,G
39.33,E6 ,G
39.38,D♯6,G
39.43,A6 ,G
39.47,D5 ,G
39.52,C♯5,G
39.57,D5 ,G
39.61,D6 ,D
39.66,D6 ,D
39.71,D6 ,D
39.75,D6 ,D
39.80,C♯6,C#
39.85,B5 ,G
39.89,G♯5,G
39.94,D6 ,G
39.98,C♯6,G
40.03,F♯5,F#
40.08,F♯5,F#
40.12,F♯5,F#
40.17,F♯5,F#
40.22,F♯5,D
40.26,F♯5,D
40.31,F♯6,D
40.36,F♯5,D
40.40,F♯5,D
40.45,D3 ,D
40.50,A4 ,D
40.54,A5 ,D
40.59,A5 ,D
40.63,A5 ,D
40.68,A6 ,D
40.73,A6 ,D
40.77,A5 ,D
40.82,A5 ,D
40.87,A4 ,D
40.91,C5 ,D
40.96,D5 ,D
41.01,D5 ,D
41.05,D5 ,D
41.10,D5 ,D
41.15,D5 ,D
41.19,D5 ,D
41.24,D3 ,D
41.29,D6 ,D
41.33,D6 ,D
41.38,D7 ,D
41.42,D6 ,D
41.47,D6 ,D
41.52,D7 ,D
41.56,D6 ,D
41.61,D6 ,D
41.66,D6 ,D
41.70,D6 ,D
41.75,D6 ,D
41.80,D6 ,D
41.84,D7 ,D
41.89,D7 ,D
41.94,D7 ,D
41.98,D5 ,D
42.03,D7 ,D
42.07,D6 ,D
42.12,D7 ,D
42.17,D6 ,D
42.21,D6 ,D
42.26,D6 ,D
42.31,D6 ,D
42.35,D7 ,D
42.40,D5 ,D
42.45,D5 ,D
42.49,D5 ,D
42.54,D5 ,D
42.59,D5 ,D
42.63,D5 ,D
42.68,D6 ,D
42.72,D♯5,D#
42.77,G♯4,G#
42.82,A6 ,A
42.86,A5 ,A
42.91,B5 ,B
42.96,B6 ,B
43.00,A♯4,B
43.05,E4 ,F#
43.10,B4 ,B
43.14,F♯6,B
43.19,F♯6,B
43.24,F♯6,B
43.28,F♯6,B
43.33,B5 ,B
43.37,B5 ,B
43.42,C♯6,C#
43.47,D6 ,D
43.51,E6 ,E
43.56,E6 ,E
43.61,E6 ,E
43.65,G3 ,G
43.70,E6 ,G
43.75,E6 ,G
43.79,E6 ,G
43.84,E6 ,B
43.89,E6 ,C
43.93,G3 ,C
43.98,G3 ,C
44.03,G3 ,C
44.07,G3 ,C
44.12,D♯3,C
44.16,E6 ,G
44.21,E6 ,E
44.26,E6 ,G
44.30,E6 ,B
44.35,E6 ,B
44.40,G3 ,C
44.44,G3 ,C
44.49,G3 ,C
44.54,G3 ,C
44.58,E6 ,C
44.63,E6 ,G
44.68,E6 ,E
44.72,E6 ,G
44.77,E5 ,B
44.81,E6 ,B
44.86,B6 ,B
44.91,E6 ,C
44.95,E6 ,C
45.00,C♯4,C
45.05,B5 ,B
45.09,B5 ,B
45.14,B5 ,B
45.19,B5 ,B
45.23,B5 ,B
45.28,C6 ,A#
45.33,D6 ,A#
45.37,D5 ,G
45.42,G4 ,G
45.46,G3 ,G
45.51,D6 ,G
45.56,D6 ,G
45.60,D6 ,D
45.65,D6 ,D
45.70,D6 ,D
45.74,D6 ,D
45.79,D6 ,D
45.84,D5 ,D
45.88,A6 ,C#
45.93,F3 ,C#
45.98,A5 ,G
46.02,G5 ,G
46.07,E5 ,G
46.11,D6 ,G
46.16,D3 ,D
46.21,D3 ,D
46.25,D6 ,D
46.30,D6 ,D
46.35,B5 ,C#
46.39,D♯3,C#
46.44,C5 ,G
46.49,G6 ,G
46.53,A6 ,D
46.58,D6 ,D
46.63,D5 ,D
46.67,D5 ,D
46.72,D5 ,D
